campana,estacion,ad,aphy,acdom,pct_ad,pct_aphy,pct_acdom
Seca 2022,E6,1.0204333557487388,0.3729079733926932,0.7952781228279999,46.624521902631386,17.038502196310624,36.336975901058
Seca 2022,E7,0.9985709012211419,0.5846789092375335,0.8030333346147,41.8462873227241,24.501656915468654,33.65205576180725
Seca 2022,E8,1.0209402283450775,0.5967902531034659,0.5735518519052001,46.59099436002548,27.234749444179666,26.174256195794847
Seca 2022,E9,0.8508498261165836,0.8710340815251518,0.4482886315816999,39.2065520477486,40.136628115146955,20.656819837104447
Seca 2022,E10,0.4374002278826575,0.30017853557431456,0.2358750667035001,44.93281697916303,30.83644301084425,24.23074000999272
Seca 2022,E14,0.6353756505042515,0.5676463849627184,0.4673737245436,38.03743194967347,33.98274819370509,27.979819856621436
Seca 2022,E12,0.26372417949578897,0.22636105800202155,0.28971868369219983,33.81929384162827,29.0279455964502,37.15276056192153
Seca 2022,E24,0.18991796376016712,0.17545591792262022,0.23813932701929985,31.4687335789392,29.072423833101343,39.45884258795947
Seca 2022,E25,0.433585239400344,0.23146176917786432,0.1232756438094999,55.000986980024095,29.361298762226628,15.637714257749273
Seca 2022,E27,0.3948377027382162,0.2129916840014246,0.3964182636834,39.31676639441379,21.20907964402023,39.474153961565975
Seca 2022,E28,0.22545980903324264,0.25558473604307386,0.38379032787899997,26.06969446812438,29.553009948556873,44.37729558331875
Seca 2022,E29,0.25520608381010174,0.34822523666605615,0.2433251970863001,30.139252372660643,41.12460069022977,28.73614693710959
Seca 2022,E30,0.4358731137053822,0.6360253446149564,0.28794464709569995,32.05319142843531,46.771965242296616,21.174843329268082
Seca 2022,E31,0.19432534306498325,0.1802026985861014,0.49724854315780004,22.290727515649465,20.67074313834735,57.03852934600319
Seca 2022,E18,0.371307875447299,0.2724964316658776,0.27950600462889996,40.21485200860862,29.51298476800707,30.27216322338431
Seca 2022,E21,0.6896226042273728,0.4042275597753877,0.4702124576156001,44.09175148715013,25.844717096884967,30.063531415964903
Seca 2022,E22,0.9586711132878155,0.38159292931938504,0.6246895440743999,48.788486394063504,19.419946196480723,31.79156740945577
Humeda 2022,SC-22-0415,0.07114415120994404,0.20631974607821219,0.20631974607821219,14.70577854077359,42.6471107296132,42.6471107296132
Humeda 2022,SC-22-0416,0.13015050709042364,0.05729090693306127,0.05729090693306127,53.18075952605079,23.4096202369746,23.4096202369746
Humeda 2022,SC-22-0419,0.2732442707248805,0.08764936091726538,0.08764936091726538,60.91818961784097,19.54090519107951,19.54090519107951
Humeda 2022,SC-22-0423,0.7630038917211981,0.12805187952870578,0.12805187952870578,74.86980312023509,12.565098439882451,12.565098439882451
Humeda 2022,SC-22-0427,0.38247646109417344,0.6637201201742059,0.6637201201742059,22.368134118550575,38.815932940724714,38.815932940724714
Humeda 2022,SC-22-0428,1.078522060699274,0.506947240469398,0.506947240469398,51.544328733653664,24.227835633173168,24.227835633173168
Humeda 2022,SC-22-0429,1.6152309968101948,0.2983404817945965,0.2983404817945965,73.02419923252936,13.487900383735322,13.487900383735322
Humeda 2022,SC-22-0431,0.7264388821674929,0.2263579309265904,0.2263579309265904,61.60674719337402,19.196626403312997,19.196626403312997
Humeda 2022,SC-22-0434,1.0202296393971564,0.8330186687405658,0.8330186687405658,37.97945804265388,31.010270978673056,31.010270978673056
Humeda 2022,SC-22-0437,1.001375962302735,0.48076081424071493,0.48076081424071493,51.015191368322576,24.492404315838712,24.492404315838712
Humeda 2022,SC-22-0441,0.8678627384329758,0.6088442186458878,0.6088442186458878,41.61311160975871,29.193444195120644,29.193444195120644
Humeda 2022,SC-22-0444,2.3454867723588326,0.07741243857059299,0.07741243857059299,93.80777683565384,3.0961115821730854,3.0961115821730854
Humeda 2022,SC-22-0453,0.0894935633815296,0.08488050648286959,0.08488050648286959,34.51956939099656,32.74021530450172,32.74021530450172
Humeda 2022,SC-22-0454,0.07808193425698273,0.06298547056965093,0.06298547056965093,38.265539804495425,30.867230097752287,30.867230097752287
Humeda 2022,SC-22-0455,0.047247541356614374,0.03661977980303161,0.03661977980303161,39.21377556527806,30.393112217360972,30.393112217360972
Humeda 2022,SC-22-0456,0.2531366752279625,0.20732393281276024,0.20732393281276024,37.90693850211525,31.04653074894237,31.04653074894237
Humeda 2022,SC-22-0459,0.3191821332475028,0.23019456421318685,0.23019456421318685,40.943291388418125,29.52835430579094,29.52835430579094
Humeda 2022,SC-22-0463,0.28358227288300036,0.2243731835122838,0.2243731835122838,38.72336235802456,30.638318820987728,30.638318820987728
Humeda 2022,SC-22-0464,0.20933739831964815,0.24743069558428016,0.24743069558428016,29.727031833126066,35.13648408343697,35.13648408343697
Humeda 2022,SC-22-0465,0.17386968757104718,0.22974269186662913,0.22974269186662913,27.452166320068628,36.273916839965686,36.273916839965686
Humeda 2022,SC-22-0466,0.19658805728739054,0.18820027164093595,0.18820027164093595,34.30924403942433,32.84537798028784,32.84537798028784
Humeda 2022,SC-22-0468,0.16522006698691596,0.17248544419110448,0.17248544419110448,32.38396628716765,33.808016856416174,33.808016856416174
Humeda 2022,SC-22-0469,0.19592339935068717,0.24587399972984744,0.24587399972984744,28.490846018842632,35.754576990578684,35.754576990578684
Humeda 2022,SC-22-0470,0.3732789375550925,0.56403033562371,0.56403033562371,24.86305798944614,37.568471005276926,37.568471005276926
Humeda 2022,SC-22-0471,0.6786669031005337,1.8089274477614161,1.8089274477614161,15.795728147311696,42.102135926344154,42.102135926344154
Humeda 2022,SC-22-0473,0.18687178210476643,0.2613243205577618,0.2613243205577618,26.337759420174855,36.831120289912576,36.831120289912576
Humeda 2022,SC-22-0474,0.19750419137991146,0.21201167082024405,0.21201167082024405,31.777223193976997,34.1113884030115,34.1113884030115
Humeda 2022,SC-22-0475,0.3360122667657612,0.30671820272326306,0.30671820272326306,35.390250847665854,32.30487457616707,32.30487457616707
Humeda 2022,SC-22-0479,0.2961949261410465,0.3542958011937042,0.3542958011937042,29.478393442917106,35.260803278541445,35.260803278541445
Humeda 2023,E3,0.22081783124652582,0.21368288581123296,0.3959741969204002,26.589343944028297,25.730203551561186,47.68045250441052
Humeda 2023,E2,0.5113076254073715,0.29770538840117855,0.46405008699140005,40.16357281002669,23.38496718773095,36.45146000224235
