epoca,anio,campana,etiqueta,estacion,temperatura,salinidad,turbidez,br440_compendio,br443_compendio,br440_flag,aphy440,aphy443,aphy675,aphy676,aphy677,ap440,ap676,ad440,ad676,br440_espectro,br443_espectro
Seca,2022,Seca 2022,E2,SC-22-0112,29.08,27.84,7.5,2.841081080518423,2.6863807544394582,,0.5091328314870335,0.48140992854398246,0.181187997079207,0.179203907617494,0.1708737523115964,0.8225652207628885,0.20665499285050593,0.31343238927585504,0.027451085233011922,2.841081080518423,2.817342757629086
Seca,2022,Seca 2022,E3,SC-22-0116,28.6,27.69,4.12,2.945746163717083,2.7566362315922217,,0.5897005147479537,0.5518431373229884,0.20667943270768824,0.20018714511498895,0.19574103713383398,1.154326916694681,0.24889791357935837,0.5646264019467273,0.04871076846436941,2.945746163717083,2.8192511156752316
Seca,2022,Seca 2022,E4,SC-22-0121,29.39,25.65,183.5,10.201274739703308,9.194361237655288,,3.7976519995669307,3.422805995316013,0.5001490142226561,0.3722722989497076,0.34482241874179875,15.605677847185552,1.4255436282628522,11.808025847618621,1.0532713293131446,10.201274739703308,9.926286138254232
Seca,2022,Seca 2022,E5,SC-22-0122,29.34,21.18,63.7,8.368367433340405,8.226343357328084,,0.7840729758495963,0.7707660505970542,0.10192859104434498,0.0936948553102212,0.08297992663284959,3.8086942703684614,0.3593672856614235,3.024621294518865,0.2656724303512023,8.368367433340405,9.288584382670784
Seca,2022,Seca 2022,E6,SC-22-0127,31.28,31.26,19.9,6.539741085660782,6.046934207377212,,0.4032988471730803,0.3729079733926932,0.059717462613934805,0.06166893182627131,0.056710447228614,1.4547279620657783,0.1520168204599997,1.051429114892698,0.09034788863372839,6.539741085660782,6.575648608260977
Seca,2022,Seca 2022,E7,SC-22-0129,29.84,19.43,21.3,4.087568640679724,3.884920587765291,,0.6151773556949103,0.5846789092375335,0.15116340614955798,0.15049957805543107,0.13950052344449032,1.6486690048014752,0.2401039413037198,1.0334916491065649,0.08960436324828873,4.087568640679724,4.191230934485973
Seca,2022,Seca 2022,E8,SC-22-0131,31.31,17.54,22.5,3.7171112075962807,3.5739944606899576,,0.6206880740287621,0.5967902531034659,0.16863074538998227,0.16698130331971917,0.1578619100775635,1.6746858384390404,0.2586806367325722,1.0539977644102783,0.09169933341285304,3.7171112075962807,3.78045757086203
Seca,2022,Seca 2022,E9,SC-22-0135,30.45,21.06,18.46,4.1938085926615845,3.801130886059746,,0.9610166882172065,0.8710340815251518,0.24272127984106506,0.22915129934609174,0.22204820352818933,1.8406610256283993,0.3079814855276477,0.8796443374111927,0.07883018618155596,4.1938085926615845,3.9227251906794773
Seca,2022,Seca 2022,E10,SC-22-0139,29.84,30.37,10.17,3.00645698380686,2.840837009190755,,0.3176788572334863,0.30017853557431456,0.10799060968238704,0.10566552554869169,0.10026463177580933,0.7724402576152241,0.14727545779892268,0.45476140038173773,0.04160993225023099,3.00645698380686,2.9938626438633977
Seca,2022,Seca 2022,E14,SC-22-0141,30.61,22.25,11.35,3.1595526258826783,2.940057777232703,,0.610024959397188,0.5676463849627184,0.1977922988356418,0.1930732073901654,0.18722782846918123,1.2626325009350985,0.2520152046571485,0.6526075415379105,0.058941997266983105,3.1595526258826783,3.031848361453149
Seca,2022,Seca 2022,E13,SC-22-0144,29.82,26.01,10.37,2.4828342585311143,2.370660134436055,,0.5622921999754893,0.536887912596657,0.23283057207643312,0.22647190324663502,0.2169184736695548,1.0733234792256088,0.2736283666536241,0.5110312792501195,0.0471564634069891,2.4828342585311143,2.4750677225146407
Seca,2022,Seca 2022,E12,SC-22-0156,28.04,30.65,6.2,2.691115844205631,2.598686886596165,,0.2344121690236758,0.22636105800202155,0.08715916087858076,0.08710593768321037,0.08345449072629924,0.508321691189039,0.11200428251673068,0.27390952216536324,0.024898344833520304,2.691115844205631,2.712389183997354
Seca,2022,Seca 2022,E24,SC-22-0161,28.39,26.26,3.68,2.537383782102953,2.3620452209913294,,0.18848030370222854,0.17545591792262022,0.07503612374364116,0.07428135429557225,0.07219372299947294,0.3845112353456891,0.09305624827706464,0.19603093164346055,0.018774893981492395,2.537383782102953,2.430348659590546
Seca,2022,Seca 2022,E25,SC-22-0163,29.17,22.9,5.61,3.268731802411532,3.0036053303369994,,0.25189276311120234,0.23146176917786432,0.07544585482349188,0.0770613125632903,0.07373844522194534,0.7004507293038931,0.11679467272270122,0.4485579661926907,0.03973336015941093,3.268731802411532,3.1389564626862905
Seca,2022,Seca 2022,E27,SC-22-0164,28.94,25.12,6.44,2.7543894569420857,2.5865959512052195,,0.22680853905941906,0.2129916840014246,0.08626964914262697,0.08234439704515177,0.0786111559184055,0.636347599537119,0.11708408972879675,0.4095390604776999,0.03473969268364498,2.7543894569420857,2.709433305146911
Seca,2022,Seca 2022,E28,SC-22-0167,28.94,28.59,4.67,2.197120676611186,2.1384199299487707,,0.26260067086070543,0.25558473604307386,0.1214031550273358,0.11952036756840216,0.11632049966694644,0.4974469123132834,0.14017932311335488,0.234846241452578,0.020658955544952718,2.197120676611186,2.1972458575648695
Seca,2022,Seca 2022,E29,SC-22-0168,29.31,33.5,5.18,2.201442183565343,2.150961613234441,,0.3563976784438908,0.34822523666605615,0.1638930143028754,0.16189281785574192,0.15466029957902183,0.6241436865409683,0.1891236480876565,0.2677460080970775,0.02723083023191459,2.201442183565343,2.251548959971687
Seca,2022,Seca 2022,E30,SC-22-0170,31.08,33.32,9.66,2.387284072556569,2.299829735403952,,0.6602111241399767,0.6360253446149564,0.27706512841398745,0.27655323123441666,0.2680752905412853,1.1141176442380023,0.32520280098108434,0.45390652009802557,0.04864956974666766,2.387284072556569,2.372562362352469
Seca,2022,Seca 2022,E31,SC-22-0172,28.81,29.63,3.1,2.4883816822613762,2.33097414250843,,0.1923715437585988,0.1802026985861014,0.07965530478076212,0.07730789256725945,0.07683977260843967,0.39426071291936887,0.09451208226108362,0.20188916916077007,0.01720418969382418,2.4883816822613762,2.3451748029549595
