epoca,anio,campana,etiqueta,estacion,temperatura,salinidad,turbidez,br440_compendio,br443_compendio,br440_flag,aphy440,aphy443,aphy675,aphy676,aphy677,ap440,ap676,ad440,ad676,br440_espectro,br443_espectro,br,br443,qc_rango,qc_turbidez,qc_temp,valido,clase,clase443,clase_qc,zona,CP1,CP2,grupo2,grupo3,grupo4
Seca,2021,Seca 2021,E29,SC-21-0168,31.4,25.9,6.48,1.1804796912465054,1.1946981709722826,,0.5790355350781465,0.5860098227995385,0.4875209188204213,0.4905086799644344,0.4946113527570702,1.3440677384147917,0.5184483067313453,0.7650322033366451,0.0279396267669109,1.1804796912465054,1.1847884597330682,1.1804796912465054,1.1946981709722826,True,True,True,True,Micro,Micro,Micro,Baja influencia,-0.6696811045630763,1.43541286457128,2,3,4
Seca,2021,Seca 2021,E31_sup,SC-21-0169,30.8,21.2,5.53,2.7483092489877534,2.6356536470774614,,0.6684232398373868,0.6410239861171431,0.2461698382753879,0.2432125278782138,0.2365537224656279,1.1174466465839534,0.2520547055282076,0.4490234067465665,0.0088421776499937,2.7483092489877534,2.709845270814904,2.7483092489877534,2.6356536470774614,True,True,True,True,Nano,Nano,Nano,Alta influencia,-0.1240865023734759,-0.2951272789097437,2,3,3
Seca,2021,Seca 2021,E31_10m,SC-21-0170,28.1,34.7,1.61,1.9575462490191875,1.9731630154942024,,0.0775683445274276,0.0781871634814857,0.0427214927934494,0.0396252934337018,0.0415986360778297,0.2361969300499068,0.039631402920731,0.1586285855224791,6.109487029217019e-06,1.9575462490191875,1.879560746539864,1.9575462490191875,1.9731630154942024,True,True,True,True,Micro,Micro,Micro,Baja influencia,2.2679342563337257,0.5104731966021802,1,1,1
Seca,2021,Seca 2021,E31_5m,SC-21-0171,28.5,33.3,0.45,2.2667692517550773,2.058559282106887,,0.172023175265735,0.1562222991628268,0.0773152859282779,0.0758891427226409,0.0767912535950509,0.2885526521085528,0.0806814132904199,0.1165294768428177,0.0047922705677789,2.2667692517550773,2.034376206262312,2.2667692517550773,2.058559282106887,True,True,True,True,Micro,Micro,Micro,Baja influencia,2.579737266709636,0.897438565960763,1,1,1
Seca,2021,Seca 2021,E30,SC-21-0172,32.7,30.8,10.45,1.8536971993806564,1.7520906730516732,,1.107050806353973,1.0463701369647604,0.5910162096083325,0.597212320719831,0.5967388310606918,2.021070240127308,0.6232047685763336,0.9140194337733348,0.0259924478565025,1.8536971993806564,1.7534808906349493,1.8536971993806564,1.7520906730516732,True,True,True,True,Micro,Micro,Micro,Baja influencia,-0.5847261295630539,1.0931967119118053,2,3,4
Seca,2021,Seca 2021,E07_sup,SC-21-0225,30.9,6.1,57.9,2.7092831197611367,3.692754039571118,,0.908440561415388,1.238204869918759,0.3112043764208332,0.3353066184886135,0.3367003458261278,4.687736974745619,0.335311280070843,3.7792964133302314,4.661582229491767e-06,2.7092831197611367,3.677468363986085,2.7092831197611367,3.692754039571118,True,True,True,True,Nano,Pico,Nano,Alta influencia,-2.4358632739427324,-1.6764023139685686,2,2,2
Seca,2021,Seca 2021,E09_sup,SC-21-0228,30.8,12.4,16.76,3.655874097633845,3.657810486452935,,1.4928623918604838,1.4936531089275484,0.4137816688453315,0.4083462263721539,0.397804183547031,2.081463022955111,0.4209090254811564,0.5886006310946271,0.0125627991090024,3.655874097633845,3.7547445972270896,3.655874097633845,3.657810486452935,True,True,True,True,Pico,Pico,Pico,Alta influencia,-0.9419070594829803,-1.8899886159775423,2,2,2
Seca,2022,Seca 2022,E1,SC-22-0108,29.12,28.6,8.01,1.8731384603370795,1.827160689167482,,1.265724165729888,1.2346558932620395,0.6813728082289894,0.6757237612333875,0.6692877554673382,1.5715032571392575,0.69859210849394,0.3057790914093696,0.0228683472605525,1.8731384603370795,1.8447310341124143,1.8731384603370795,1.827160689167482,True,True,True,True,Micro,Micro,Micro,Baja influencia,0.6907670248397277,0.02160617722194458,1,1,1
Seca,2022,Seca 2022,E2,SC-22-0112,29.08,27.84,7.5,2.841081080518423,2.6863807544394582,,0.5091328314870335,0.4814099285439824,0.181187997079207,0.179203907617494,0.1708737523115964,0.8225652207628885,0.2066549928505059,0.313432389275855,0.0274510852330119,2.841081080518423,2.817342757629086,2.841081080518423,2.6863807544394582,True,True,True,True,Nano,Nano,Nano,Baja influencia,1.0890393058858339,-0.9068130769307743,1,1,1
Seca,2022,Seca 2022,E3,SC-22-0116,28.6,27.69,4.12,2.945746163717083,2.7566362315922217,,0.5897005147479537,0.5518431373229884,0.2066794327076882,0.2001871451149889,0.1957410371338339,1.154326916694681,0.2488979135793583,0.5646264019467273,0.0487107684643694,2.945746163717083,2.819251115675232,2.945746163717083,2.7566362315922217,True,True,True,True,Nano,Nano,Nano,Baja influencia,1.5217975539718007,-0.8835314397038204,1,1,1
