time,latitude,longitude,sst
UTC,degrees_north,degrees_east,degree_C
2002-07-16T00:00:00Z,10.29,-75.54,28.375458
2002-07-16T00:00:00Z,10.29,-75.53,NaN
2002-07-16T00:00:00Z,10.29,-75.52,28.364594
2002-07-16T00:00:00Z,10.3,-75.6,28.370453
2002-07-16T00:00:00Z,10.3,-75.59,28.373688
2002-07-16T00:00:00Z,10.3,-75.58,NaN
2002-07-16T00:00:00Z,10.3,-75.57,28.37503
2002-07-16T00:00:00Z,10.3,-75.56,28.373291
2002-07-16T00:00:00Z,10.3,-75.55,28.370514
2002-07-16T00:00:00Z,10.3,-75.54,28.366333
2002-07-16T00:00:00Z,10.3,-75.53,28.361145
2002-07-16T00:00:00Z,10.3,-75.52,28.355225
2002-07-16T00:00:00Z,10.31,-75.6,28.36023
2002-07-16T00:00:00Z,10.31,-75.59,28.364532
2002-07-16T00:00:00Z,10.31,-75.58,28.36621
2002-07-16T00:00:00Z,10.31,-75.57,28.366058
2002-07-16T00:00:00Z,10.31,-75.56,28.36444
2002-07-16T00:00:00Z,10.31,-75.55,28.361267
2002-07-16T00:00:00Z,10.31,-75.54,28.356934
2002-07-16T00:00:00Z,10.31,-75.53,28.351593
2002-07-16T00:00:00Z,10.31,-75.52,28.345642
2002-07-16T00:00:00Z,10.32,-75.6,28.351105
2002-07-16T00:00:00Z,10.32,-75.59,28.35611
2002-07-16T00:00:00Z,10.32,-75.58,28.357971
2002-07-16T00:00:00Z,10.32,-75.57,28.357574
2002-07-16T00:00:00Z,10.32,-75.56,28.3555
2002-07-16T00:00:00Z,10.32,-75.55,28.351776
2002-07-16T00:00:00Z,10.32,-75.54,28.347076
2002-07-16T00:00:00Z,10.32,-75.53,28.341766
2002-07-16T00:00:00Z,10.32,-75.52,28.335693
2002-07-16T00:00:00Z,10.33,-75.6,28.343811
2002-07-16T00:00:00Z,10.33,-75.59,28.348724
2002-07-16T00:00:00Z,10.33,-75.58,28.35022
2002-07-16T00:00:00Z,10.33,-75.57,28.349365
2002-07-16T00:00:00Z,10.33,-75.56,28.346466
2002-07-16T00:00:00Z,10.33,-75.55,28.342346
2002-07-16T00:00:00Z,10.33,-75.54,28.337189
2002-07-16T00:00:00Z,10.33,-75.53,28.331451
2002-07-16T00:00:00Z,10.33,-75.52,28.325226
2002-07-16T00:00:00Z,10.34,-75.6,28.337463
2002-07-16T00:00:00Z,10.34,-75.59,28.341736
2002-07-16T00:00:00Z,10.34,-75.58,28.342865
2002-07-16T00:00:00Z,10.34,-75.57,28.341217
2002-07-16T00:00:00Z,10.34,-75.56,28.337372
2002-07-16T00:00:00Z,10.34,-75.55,28.332489
2002-07-16T00:00:00Z,10.34,-75.54,28.326813
2002-07-16T00:00:00Z,10.34,-75.53,28.320648
2002-07-16T00:00:00Z,10.34,-75.52,28.314331
2002-07-16T00:00:00Z,10.35,-75.6,28.331543
2002-07-16T00:00:00Z,10.35,-75.59,28.334747
2002-07-16T00:00:00Z,10.35,-75.58,28.335297
2002-07-16T00:00:00Z,10.35,-75.57,28.332764
2002-07-16T00:00:00Z,10.35,-75.56,28.328003
2002-07-16T00:00:00Z,10.35,-75.55,28.322235
2002-07-16T00:00:00Z,10.35,-75.54,28.315796
2002-07-16T00:00:00Z,10.35,-75.53,28.309296
2002-07-16T00:00:00Z,10.35,-75.52,28.302704
2002-07-16T00:00:00Z,10.36,-75.6,28.325165
2002-07-16T00:00:00Z,10.36,-75.59,28.327332
2002-07-16T00:00:00Z,10.36,-75.58,28.327179
2002-07-16T00:00:00Z,10.36,-75.57,28.3237
2002-07-16T00:00:00Z,10.36,-75.56,28.31784
2002-07-16T00:00:00Z,10.36,-75.55,28.311066
2002-07-16T00:00:00Z,10.36,-75.54,28.304047
2002-07-16T00:00:00Z,10.36,-75.53,28.297272
2002-07-16T00:00:00Z,10.36,-75.52,28.290253
2002-07-16T00:00:00Z,10.37,-75.6,28.317749
2002-07-16T00:00:00Z,10.37,-75.59,28.318756
2002-07-16T00:00:00Z,10.37,-75.58,28.317566
2002-07-16T00:00:00Z,10.37,-75.57,28.31314
2002-07-16T00:00:00Z,10.37,-75.56,28.306274
2002-07-16T00:00:00Z,10.37,-75.55,28.298645
2002-07-16T00:00:00Z,10.37,-75.54,28.29123
2002-07-16T00:00:00Z,10.37,-75.53,28.283875
2002-07-16T00:00:00Z,10.37,-75.52,28.276855
2002-07-16T00:00:00Z,10.38,-75.6,28.308594
2002-07-16T00:00:00Z,10.38,-75.59,28.308685
2002-07-16T00:00:00Z,10.38,-75.58,28.305908
2002-07-16T00:00:00Z,10.38,-75.57,28.300385
2002-07-16T00:00:00Z,10.38,-75.56,28.292847
2002-07-16T00:00:00Z,10.38,-75.55,28.28479
2002-07-16T00:00:00Z,10.38,-75.54,28.277039
2002-07-16T00:00:00Z,10.38,-75.53,28.269562
2002-07-16T00:00:00Z,10.38,-75.52,28.262177
2002-07-16T00:00:00Z,10.39,-75.6,28.295837
2002-07-16T00:00:00Z,10.39,-75.59,28.29544
2002-07-16T00:00:00Z,10.39,-75.58,28.29181
2002-07-16T00:00:00Z,10.39,-75.57,28.285522
2002-07-16T00:00:00Z,10.39,-75.56,28.27768
2002-07-16T00:00:00Z,10.39,-75.55,28.269196
2002-07-16T00:00:00Z,10.39,-75.54,28.261108
2002-07-16T00:00:00Z,10.39,-75.53,28.253601
2002-07-16T00:00:00Z,10.39,-75.52,NaN
2002-07-16T00:00:00Z,10.4,-75.6,28.27768
2002-07-16T00:00:00Z,10.4,-75.59,28.277344
2002-07-16T00:00:00Z,10.4,-75.58,28.274689
2002-07-16T00:00:00Z,10.4,-75.57,28.268982
2002-07-16T00:00:00Z,10.4,-75.56,NaN
2002-07-16T00:00:00Z,10.4,-75.55,NaN
2002-07-16T00:00:00Z,10.4,-75.54,28.243805
2002-07-16T00:00:00Z,10.4,-75.53,28.236298
2002-07-16T00:00:00Z,10.4,-75.52,NaN
2002-07-16T00:00:00Z,10.41,-75.6,28.255188
2002-07-16T00:00:00Z,10.41,-75.59,28.254486
2002-07-16T00:00:00Z,10.41,-75.58,28.253632
2002-07-16T00:00:00Z,10.41,-75.57,28.249268
2002-07-16T00:00:00Z,10.41,-75.56,28.240997
2002-07-16T00:00:00Z,10.41,-75.55,NaN
2002-07-16T00:00:00Z,10.41,-75.54,28.224365
2002-07-16T00:00:00Z,10.41,-75.53,NaN
2002-07-16T00:00:00Z,10.41,-75.52,NaN
2002-08-16T00:00:00Z,10.28,-75.6,28.797607
2002-08-16T00:00:00Z,10.28,-75.59,NaN
2002-08-16T00:00:00Z,10.28,-75.58,NaN
2002-08-16T00:00:00Z,10.28,-75.57,28.795532
2002-08-16T00:00:00Z,10.28,-75.56,28.791687
2002-08-16T00:00:00Z,10.28,-75.55,NaN
2002-08-16T00:00:00Z,10.28,-75.54,NaN
2002-08-16T00:00:00Z,10.28,-75.53,NaN
2002-08-16T00:00:00Z,10.28,-75.52,NaN
2002-08-16T00:00:00Z,10.29,-75.6,28.794403
2002-08-16T00:00:00Z,10.29,-75.59,NaN
2002-08-16T00:00:00Z,10.29,-75.58,NaN
2002-08-16T00:00:00Z,10.29,-75.57,28.795898
2002-08-16T00:00:00Z,10.29,-75.56,28.792755
2002-08-16T00:00:00Z,10.29,-75.55,28.786835
2002-08-16T00:00:00Z,10.29,-75.54,28.77832
2002-08-16T00:00:00Z,10.29,-75.53,NaN
2002-08-16T00:00:00Z,10.29,-75.52,28.757874
2002-08-16T00:00:00Z,10.3,-75.6,28.789673
2002-08-16T00:00:00Z,10.3,-75.59,28.792114
2002-08-16T00:00:00Z,10.3,-75.58,NaN
2002-08-16T00:00:00Z,10.3,-75.57,28.793793
2002-08-16T00:00:00Z,10.3,-75.56,28.791626
2002-08-16T00:00:00Z,10.3,-75.55,28.786163
2002-08-16T00:00:00Z,10.3,-75.54,28.777496
2002-08-16T00:00:00Z,10.3,-75.53,28.767426
2002-08-16T00:00:00Z,10.3,-75.52,28.757294
2002-08-16T00:00:00Z,10.31,-75.6,28.783417
2002-08-16T00:00:00Z,10.31,-75.59,28.78659
2002-08-16T00:00:00Z,10.31,-75.58,28.788696
2002-08-16T00:00:00Z,10.31,-75.57,28.789185
2002-08-16T00:00:00Z,10.31,-75.56,28.787476
2002-08-16T00:00:00Z,10.31,-75.55,28.782501
2002-08-16T00:00:00Z,10.31,-75.54,28.774628
2002-08-16T00:00:00Z,10.31,-75.53,28.765198
2002-08-16T00:00:00Z,10.31,-75.52,28.755554
2002-08-16T00:00:00Z,10.32,-75.6,28.776093
2002-08-16T00:00:00Z,10.32,-75.59,28.779633
2002-08-16T00:00:00Z,10.32,-75.58,28.781982
2002-08-16T00:00:00Z,10.32,-75.57,28.782501
2002-08-16T00:00:00Z,10.32,-75.56,28.780823
2002-08-16T00:00:00Z,10.32,-75.55,28.77658
2002-08-16T00:00:00Z,10.32,-75.54,28.769867
2002-08-16T00:00:00Z,10.32,-75.53,28.761444
2002-08-16T00:00:00Z,10.32,-75.52,28.75238
2002-08-16T00:00:00Z,10.33,-75.6,28.7677
2002-08-16T00:00:00Z,10.33,-75.59,28.77179
2002-08-16T00:00:00Z,10.33,-75.58,28.774017
2002-08-16T00:00:00Z,10.33,-75.57,28.774536
2002-08-16T00:00:00Z,10.33,-75.56,28.773102
2002-08-16T00:00:00Z,10.33,-75.55,28.769653
2002-08-16T00:00:00Z,10.33,-75.54,28.763824
2002-08-16T00:00:00Z,10.33,-75.53,28.756622
2002-08-16T00:00:00Z,10.33,-75.52,28.748352
2002-08-16T00:00:00Z,10.34,-75.6,28.758728
2002-08-16T00:00:00Z,10.34,-75.59,28.763275
2002-08-16T00:00:00Z,10.34,-75.58,28.765564
2002-08-16T00:00:00Z,10.34,-75.57,28.766266
2002-08-16T00:00:00Z,10.34,-75.56,28.765198
2002-08-16T00:00:00Z,10.34,-75.55,28.762085
2002-08-16T00:00:00Z,10.34,-75.54,28.757294
2002-08-16T00:00:00Z,10.34,-75.53,28.750916
2002-08-16T00:00:00Z,10.34,-75.52,28.743378
2002-08-16T00:00:00Z,10.35,-75.6,28.750092
2002-08-16T00:00:00Z,10.35,-75.59,28.75467
2002-08-16T00:00:00Z,10.35,-75.58,28.757141
2002-08-16T00:00:00Z,10.35,-75.57,28.75766
2002-08-16T00:00:00Z,10.35,-75.56,28.756989
2002-08-16T00:00:00Z,10.35,-75.55,28.754364
2002-08-16T00:00:00Z,10.35,-75.54,28.750092
2002-08-16T00:00:00Z,10.35,-75.53,28.744385
2002-08-16T00:00:00Z,10.35,-75.52,28.73767
2002-08-16T00:00:00Z,10.36,-75.6,28.741821
2002-08-16T00:00:00Z,10.36,-75.59,28.746307
2002-08-16T00:00:00Z,10.36,-75.58,28.748474
2002-08-16T00:00:00Z,10.36,-75.57,28.749237
2002-08-16T00:00:00Z,10.36,-75.56,28.748444
2002-08-16T00:00:00Z,10.36,-75.55,28.746338
2002-08-16T00:00:00Z,10.36,-75.54,28.742523
2002-08-16T00:00:00Z,10.36,-75.53,28.737457
2002-08-16T00:00:00Z,10.36,-75.52,28.731415
2002-08-16T00:00:00Z,10.37,-75.6,28.734375
2002-08-16T00:00:00Z,10.37,-75.59,28.73825
2002-08-16T00:00:00Z,10.37,-75.58,28.740265
2002-08-16T00:00:00Z,10.37,-75.57,28.740723
2002-08-16T00:00:00Z,10.37,-75.56,28.739868
2002-08-16T00:00:00Z,10.37,-75.55,28.737823
2002-08-16T00:00:00Z,10.37,-75.54,28.734528
2002-08-16T00:00:00Z,10.37,-75.53,28.730133
2002-08-16T00:00:00Z,10.37,-75.52,28.724823
2002-08-16T00:00:00Z,10.38,-75.6,28.727203
2002-08-16T00:00:00Z,10.38,-75.59,28.730804
2002-08-16T00:00:00Z,10.38,-75.58,28.7323
2002-08-16T00:00:00Z,10.38,-75.57,28.732239
2002-08-16T00:00:00Z,10.38,-75.56,28.731506
2002-08-16T00:00:00Z,10.38,-75.55,28.729614
2002-08-16T00:00:00Z,10.38,-75.54,28.726562
2002-08-16T00:00:00Z,10.38,-75.53,28.722595
2002-08-16T00:00:00Z,10.38,-75.52,28.717804
2002-08-16T00:00:00Z,10.39,-75.6,28.720001
2002-08-16T00:00:00Z,10.39,-75.59,28.723358
2002-08-16T00:00:00Z,10.39,-75.58,28.724335
2002-08-16T00:00:00Z,10.39,-75.57,28.72409
2002-08-16T00:00:00Z,10.39,-75.56,28.723022
2002-08-16T00:00:00Z,10.39,-75.55,28.721008
2002-08-16T00:00:00Z,10.39,-75.54,28.71817
2002-08-16T00:00:00Z,10.39,-75.53,28.714783
2002-08-16T00:00:00Z,10.39,-75.52,NaN
2002-08-16T00:00:00Z,10.4,-75.6,28.712372
2002-08-16T00:00:00Z,10.4,-75.59,28.71524
2002-08-16T00:00:00Z,10.4,-75.58,28.71576
2002-08-16T00:00:00Z,10.4,-75.57,28.71521
2002-08-16T00:00:00Z,10.4,-75.56,NaN
2002-08-16T00:00:00Z,10.4,-75.55,NaN
2002-08-16T00:00:00Z,10.4,-75.54,28.709747
2002-08-16T00:00:00Z,10.4,-75.53,28.70639
2002-08-16T00:00:00Z,10.4,-75.52,NaN
2002-08-16T00:00:00Z,10.41,-75.6,28.703125
2002-08-16T00:00:00Z,10.41,-75.59,28.705841
2002-08-16T00:00:00Z,10.41,-75.58,28.70633
2002-08-16T00:00:00Z,10.41,-75.57,28.705658
2002-08-16T00:00:00Z,10.41,-75.56,28.70465
2002-08-16T00:00:00Z,10.41,-75.55,NaN
2002-08-16T00:00:00Z,10.41,-75.54,28.700592
2002-08-16T00:00:00Z,10.41,-75.53,NaN
2002-08-16T00:00:00Z,10.41,-75.52,NaN
2002-09-16T00:00:00Z,10.28,-75.6,29.03006
2002-09-16T00:00:00Z,10.28,-75.59,NaN
2002-09-16T00:00:00Z,10.28,-75.58,NaN
2002-09-16T00:00:00Z,10.28,-75.57,29.050354
2002-09-16T00:00:00Z,10.28,-75.56,29.057129
2002-09-16T00:00:00Z,10.28,-75.55,NaN
2002-09-16T00:00:00Z,10.28,-75.54,NaN
2002-09-16T00:00:00Z,10.28,-75.53,NaN
2002-09-16T00:00:00Z,10.28,-75.52,NaN
2002-09-16T00:00:00Z,10.29,-75.6,29.021118
2002-09-16T00:00:00Z,10.29,-75.59,NaN
2002-09-16T00:00:00Z,10.29,-75.58,NaN
2002-09-16T00:00:00Z,10.29,-75.57,29.044556
2002-09-16T00:00:00Z,10.29,-75.56,29.05243
2002-09-16T00:00:00Z,10.29,-75.55,29.059296
2002-09-16T00:00:00Z,10.29,-75.54,29.06485
2002-09-16T00:00:00Z,10.29,-75.53,NaN
2002-09-16T00:00:00Z,10.29,-75.52,29.073242
2002-09-16T00:00:00Z,10.3,-75.6,29.011566
2002-09-16T00:00:00Z,10.3,-75.59,29.019989
2002-09-16T00:00:00Z,10.3,-75.58,NaN
2002-09-16T00:00:00Z,10.3,-75.57,29.038269
2002-09-16T00:00:00Z,10.3,-75.56,29.047333
2002-09-16T00:00:00Z,10.3,-75.55,29.055084
2002-09-16T00:00:00Z,10.3,-75.54,29.061157
2002-09-16T00:00:00Z,10.3,-75.53,29.06604
2002-09-16T00:00:00Z,10.3,-75.52,29.070038
2002-09-16T00:00:00Z,10.31,-75.6,29.001831
2002-09-16T00:00:00Z,10.31,-75.59,29.011139
2002-09-16T00:00:00Z,10.31,-75.58,29.021027
2002-09-16T00:00:00Z,10.31,-75.57,29.031433
2002-09-16T00:00:00Z,10.31,-75.56,29.04129
2002-09-16T00:00:00Z,10.31,-75.55,29.049805
2002-09-16T00:00:00Z,10.31,-75.54,29.057007
2002-09-16T00:00:00Z,10.31,-75.53,29.062347
2002-09-16T00:00:00Z,10.31,-75.52,29.066528
2002-09-16T00:00:00Z,10.32,-75.6,28.992126
2002-09-16T00:00:00Z,10.32,-75.59,29.002014
2002-09-16T00:00:00Z,10.32,-75.58,29.012787
2002-09-16T00:00:00Z,10.32,-75.57,29.02356
2002-09-16T00:00:00Z,10.32,-75.56,29.034119
2002-09-16T00:00:00Z,10.32,-75.55,29.043732
2002-09-16T00:00:00Z,10.32,-75.54,29.051605
2002-09-16T00:00:00Z,10.32,-75.53,29.057892
2002-09-16T00:00:00Z,10.32,-75.52,29.062256
2002-09-16T00:00:00Z,10.33,-75.6,28.982025
2002-09-16T00:00:00Z,10.33,-75.59,28.992859
2002-09-16T00:00:00Z,10.33,-75.58,29.00418
2002-09-16T00:00:00Z,10.33,-75.57,29.015625
2002-09-16T00:00:00Z,10.33,-75.56,29.026459
2002-09-16T00:00:00Z,10.33,-75.55,29.036469
2002-09-16T00:00:00Z,10.33,-75.54,29.04541
2002-09-16T00:00:00Z,10.33,-75.53,29.052307
2002-09-16T00:00:00Z,10.33,-75.52,29.056885
2002-09-16T00:00:00Z,10.34,-75.6,28.972076
2002-09-16T00:00:00Z,10.34,-75.59,28.983582
2002-09-16T00:00:00Z,10.34,-75.58,28.995789
2002-09-16T00:00:00Z,10.34,-75.57,29.00763
2002-09-16T00:00:00Z,10.34,-75.56,29.018524
2002-09-16T00:00:00Z,10.34,-75.55,29.028778
2002-09-16T00:00:00Z,10.34,-75.54,29.037964
2002-09-16T00:00:00Z,10.34,-75.53,29.045197
2002-09-16T00:00:00Z,10.34,-75.52,29.050293
2002-09-16T00:00:00Z,10.35,-75.6,28.962463
2002-09-16T00:00:00Z,10.35,-75.59,28.974945
2002-09-16T00:00:00Z,10.35,-75.58,28.987701
2002-09-16T00:00:00Z,10.35,-75.57,28.999756
2002-09-16T00:00:00Z,10.35,-75.56,29.010925
2002-09-16T00:00:00Z,10.35,-75.55,29.021057
2002-09-16T00:00:00Z,10.35,-75.54,29.029846
2002-09-16T00:00:00Z,10.35,-75.53,29.037354
2002-09-16T00:00:00Z,10.35,-75.52,29.042877
2002-09-16T00:00:00Z,10.36,-75.6,28.95459
2002-09-16T00:00:00Z,10.36,-75.59,28.967834
2002-09-16T00:00:00Z,10.36,-75.58,28.98053
2002-09-16T00:00:00Z,10.36,-75.57,28.992584
2002-09-16T00:00:00Z,10.36,-75.56,29.00354
2002-09-16T00:00:00Z,10.36,-75.55,29.013489
2002-09-16T00:00:00Z,10.36,-75.54,29.022003
2002-09-16T00:00:00Z,10.36,-75.53,29.029419
2002-09-16T00:00:00Z,10.36,-75.52,29.03534
2002-09-16T00:00:00Z,10.37,-75.6,28.94873
2002-09-16T00:00:00Z,10.37,-75.59,28.96228
2002-09-16T00:00:00Z,10.37,-75.58,28.97467
2002-09-16T00:00:00Z,10.37,-75.57,28.986206
2002-09-16T00:00:00Z,10.37,-75.56,28.996796
2002-09-16T00:00:00Z,10.37,-75.55,29.006256
2002-09-16T00:00:00Z,10.37,-75.54,29.014587
2002-09-16T00:00:00Z,10.37,-75.53,29.021729
2002-09-16T00:00:00Z,10.37,-75.52,29.028046
2002-09-16T00:00:00Z,10.38,-75.6,28.945374
2002-09-16T00:00:00Z,10.38,-75.59,28.95874
2002-09-16T00:00:00Z,10.38,-75.58,28.970459
2002-09-16T00:00:00Z,10.38,-75.57,28.980957
2002-09-16T00:00:00Z,10.38,-75.56,28.990662
2002-09-16T00:00:00Z,10.38,-75.55,28.999512
2002-09-16T00:00:00Z,10.38,-75.54,29.007446
2002-09-16T00:00:00Z,10.38,-75.53,29.01474
2002-09-16T00:00:00Z,10.38,-75.52,29.02124
2002-09-16T00:00:00Z,10.39,-75.6,28.942413
2002-09-16T00:00:00Z,10.39,-75.59,28.955505
2002-09-16T00:00:00Z,10.39,-75.58,28.966553
2002-09-16T00:00:00Z,10.39,-75.57,28.976196
