fecha,A01,A05,Muelle_CIOH,S1,S2,S4,S5,S6
2016-08,1.061,1.09,1.037,1.03,1.188,1.102,1.232,1.069
2016-09,0.787,0.785,0.802,0.785,0.877,0.842,0.894,0.803
2016-10,0.568,0.565,0.586,0.568,0.713,0.658,0.741,0.589
2016-11,-0.152,-0.203,-0.11,-0.121,-0.105,-0.105,-0.154,-0.133
2016-12,0.874,0.937,0.837,0.868,0.752,0.753,0.742,0.841
2017-01,-0.783,-0.742,-0.802,-0.774,-0.828,-0.876,-0.796,-0.819
2017-02,0.407,0.4,0.411,0.435,0.377,0.375,0.411,0.382
2017-03,-0.039,0.022,-0.096,-0.067,-0.088,-0.135,-0.094,-0.073
2017-04,0.442,0.466,0.45,0.462,0.294,0.369,0.243,0.425
2017-05,0.825,0.876,0.813,0.822,0.763,0.78,0.737,0.81
2017-06,1.039,1.054,1.026,1.027,0.99,1.023,1.024,1.026
2017-07,1.047,1.071,1.044,1.053,0.982,1.011,0.943,1.033
2017-08,0.689,0.718,0.665,0.691,0.565,0.586,0.538,0.662
2017-09,1.38,1.441,1.335,1.381,1.172,1.216,1.094,1.335
2017-10,-0.041,0.036,-0.085,-0.048,-0.222,-0.186,-0.263,-0.082
2017-11,0.253,0.356,0.178,0.218,0.02,0.069,-0.027,0.204
2017-12,1.037,1.164,0.926,0.979,0.888,0.83,0.8,0.974
2018-01,1.441,1.394,1.442,1.483,0.948,1.184,0.84,1.389
2018-02,-1.222,-1.295,-1.273,-1.278,-1.183,-1.201,-1.139,-1.2
2018-03,-0.165,-0.187,-0.109,-0.116,-0.331,-0.172,-0.41,-0.154
2018-04,0.212,0.282,0.122,0.152,0.223,0.129,0.261,0.174
2018-05,0.384,0.436,0.358,0.362,0.371,0.356,0.366,0.376
2018-06,-0.045,0.001,-0.092,-0.08,-0.021,-0.074,-0.014,-0.057
2018-07,-0.597,-0.639,-0.585,-0.603,-0.418,-0.503,-0.378,-0.566
2018-08,-0.074,-0.034,-0.115,-0.125,0.061,-0.001,0.098,-0.071
2018-09,-0.147,-0.08,-0.188,-0.178,-0.139,-0.163,-0.119,-0.16
2018-10,-0.565,-0.593,-0.555,-0.566,-0.519,-0.528,-0.502,-0.553
2018-11,-0.16,-0.164,-0.178,-0.163,-0.17,-0.175,-0.095,-0.178
2018-12,-1.208,-1.181,-1.26,-1.265,-1.022,-1.143,-0.942,-1.21
2019-01,-0.596,-0.512,-0.661,-0.642,-0.712,-0.675,-0.74,-0.621
2019-02,-0.149,-0.167,-0.111,-0.14,-0.032,-0.052,-0.021,-0.116
2019-03,-0.538,-0.516,-0.541,-0.552,-0.551,-0.505,-0.539,-0.53
2019-04,0.045,0.013,0.043,0.071,-0.091,-0.016,-0.121,0.026
2019-05,0.297,0.273,0.309,0.308,0.282,0.299,0.27,0.301
2019-06,-0.111,-0.054,-0.156,-0.165,0.017,-0.073,0.089,-0.105
2019-07,0.076,0.087,0.071,0.048,0.347,0.22,0.433,0.097
2019-08,0.471,0.488,0.462,0.459,0.571,0.506,0.575,0.474
2019-09,0.556,0.552,0.536,0.55,0.518,0.52,0.482,0.547
2019-10,0.224,0.238,0.194,0.209,0.197,0.171,0.209,0.208
2019-11,0.909,1.01,0.84,0.85,0.874,0.808,0.994,0.879
2019-12,0.358,0.376,0.36,0.364,0.341,0.348,0.31,0.357
2020-01,0.983,0.895,0.991,0.996,0.968,0.992,0.9,0.987
2020-02,0.53,0.478,0.538,0.524,0.451,0.526,0.467,0.541
2020-03,-0.369,-0.573,-0.259,-0.326,-0.133,-0.117,-0.085,-0.274
2020-04,0.675,0.618,0.668,0.658,0.786,0.738,0.879,0.69
2020-05,0.162,0.148,0.177,0.145,0.33,0.272,0.395,0.195
2020-06,1.111,1.103,1.08,1.054,1.203,1.164,1.157,1.144
2020-07,0.329,0.38,0.299,0.326,0.214,0.231,0.167,0.301
2020-08,1.097,1.056,1.13,1.119,1.123,1.136,1.138,1.113
